Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has a trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of its tier one factories is published,If list/map covers at least 95% of the tier one factories in its supply chain,Publishes that this list or map of tier one factories has been updated within the past 6 months,Total
Famous Footwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanatics,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,3,0,3,2,2,0,0,0,0,0,3,1,2,1,17
Fila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fjällräven,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,3,0,3,0,0,0,0,0,0,0,3,0,0,1,10
Fossil,3,0,0,2,0,0,0,0,0,0,0,1,0,0,6
Free people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit of the Loom,3,3,3,2,2,0,0,0,0,0,0,0,0,0,13
Furla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gap,3,0,3,2,2,0,0,0,0,0,3,1,2,1,17
Gerry Weber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
